training/progress,train/grad_clip_ratio,timing/forward_ms,train/learning_rate,summary/total_iterations,performance/iterations_per_second,eval/loss,eval/num_batches,summary/final_eval_perplexity,train/grad_norm_before_clip,timing/optimizer_ms,summary/final_eval_loss,train/loss,step,system/elapsed_time_hours,performance/tokens_per_second,timing/backward_ms,summary/average_tokens_per_second,timing/eval_total_seconds,model/total_parameters,train/running_loss,training/iteration,summary/total_training_time_hours,timing/total_ms,learning_rate/group_0,model/trainable_parameters,train/perplexity,summary/final_train_loss,eval/perplexity,train/grad_norm_after_clip,timestamp
,,,,,,,,,,,,,0,,,,,,22696448,,,,,,22696448,,,,,1756114587.225503
,,,,,,,,,,,,,0,,,,,,,,,,,0.0,,,,,,1756114588.0844538
,0.10767025285806661,4582.75294303894,,,,,,,9.287616699356926,162.90831565856934,,9.324315071105957,0,,,7784.505128860474,,,,,,,12530.166387557983,,,11207.23769238799,,,1.0000000395452648,1756114601.132045
0.0,,,0.0,,0.07648610027884767,,,,,,,,0,,626.5741334843201,,,,,9.324315071105957,0,,,,,,,,,1756114601.158741
,,,,,,,,,,,,,0,0.0040324011113908554,,,,,,,,,,,,,,,,1756114601.159936
,,,,,,,,,,,,,10,,,,,,,,,,,5.9999999999999995e-05,,,,,,1756114691.9953191
,0.10836322749952587,2841.176986694336,,,,,,,9.228240318203571,84.69700813293457,,7.412320137023926,10,,,5954.918146133423,,,,,,,8880.792140960693,,,1656.2646533878792,,,1.000001906105423,1756114701.1560209
0.02,,,5.9999999999999995e-05,,0.10887054092070184,,,,,,,,10,,891.8674712223894,,,,,8.629345070232045,10,,,,,,,,,1756114701.1805341
,,,,,,,,,,,,,10,0.03181594749291738,,,,,,,,,,,,,,,,1756114701.180664
,,,,,,,,,,,,,20,,,,,,,,,,,0.00011999999999999999,,,,,,1756114787.208126
,0.11166112025291369,2963.7551307678223,,,,,,,8.955679403420126,84.43808555603027,,5.443802356719971,20,,,7357.966899871826,,,,,,,10406.160116195679,,,231.32007481582886,,,1.0000011959284483,1756114797.925835
0.04,,,0.00011999999999999999,,0.09305770193244696,,,,,,,,20,,762.3286942306055,,,,,7.5018184298560735,20,,,,,,,,,1756114797.954137
,,,,,,,,,,,,,20,0.058697509169578554,,,,,,,,,,,,,,,,1756114797.954287
,,,,,,,,,,,,,30,,,,,,,,,,,0.00017999999999999998,,,,,,1756114883.796617
,0.15432500747341765,3232.5680255889893,,,,,,,6.4798163113136535,102.82707214355469,,4.199736595153809,30,,,7202.689170837402,,,,,,,10538.084268569946,,,66.6687678513704,,,0.9999977022131032,1756114894.8169112
0.06,,,0.00017999999999999998,,0.09044350352737522,,,,,,,,30,,740.9131808962578,,,,,6.588233763171781,30,,,,,,,,,1756114894.8532338
,,,,,,,,,,,,,30,0.08561392115222083,,,,,,,,,,,,,,,,1756114894.853369
,,,,,,,,,,,,,40,,,,,,,,,,,0.00023999999999999998,,,,,,1756114976.306605
,0.35084604819327453,2880.908727645874,,,,,,,2.8502617430382706,81.74014091491699,,3.110105037689209,40,,,6191.693067550659,,,,,,,9154.34193611145,,,22.423399579128933,,,1.0000030723699123,1756114985.73201
0.08,,,0.00023999999999999998,,0.10579282443694626,,,,,,,,40,,866.6548177874638,,,,,5.8521537373705605,40,,,,,,,,,1756114985.759037
,,,,,,,,,,,,,40,0.11086600058608585,,,,,,,,,,,,,,,,1756114985.760855
,,,,,,,,,,,,,50,,,,,,,,,,,0.0003,,,,,,1756115071.514967
,0.999999989185248,3452.467918395996,,,,,,,0.9246629045802304,81.55584335327148,,2.4918582439422607,50,,,6283.173084259033,,,,,,,9817.1968460083,,,12.083709750854966,,,0.9246629045802304,1756115081.786591
0.1,,,0.0003,,0.09707075398883512,,,,,,,,50,,795.2036166765373,,,,,5.23641385751612,50,,,,,,,,,1756115081.8166158
,,,,,,,,,,,,,50,0.13754820108413696,,,,,,,,,,,,,,,,1756115081.816778
,,,,,,,,,,,,,60,,,,,,,,,,,0.0002996711467850762,,,,,,1756115175.692053
,0.9999999897188641,2632.594108581543,,,,,,,0.9726551605429788,81.84695243835449,,2.056896924972534,60,,,5749.289035797119,,,,,,,8463.730096817017,,,7.821660913005909,,,0.9726551605429788,1756115184.389807
0.12,,,0.0002996711467850762,,0.11461918595396409,,,,,,,,60,,938.9603713348738,,,,,4.746053898920779,60,,,,,,,,,1756115184.416587
,,,,,,,,,,,,,60,0.16604818443457287,,,,,,,,,,,,,,,,1756115184.416717
,,,,,,,,,,,,,70,,,,,,,,,,,0.000298686189280112,,,,,,1756115268.450151
,0.9999999808311067,2446.671962738037,,,,,,,0.5216785196180992,103.12604904174805,,2.0156290531158447,70,,,6732.095003128052,,,,,,,9281.893014907837,,,7.505447221492689,,,0.5216785196180992,1756115277.967329
0.14,,,0.000298686189280112,,0.10463753418591525,,,,,,,,70,,857.1906800510177,,,,,4.371204542442107,70,,,,,,,,,1756115278.006944
,,,,,,,,,,,,,70,0.19204551445113288,,,,,,,,,,,,,,,,1756115278.007106
,,,,,,,,,,,,,80,,,,,,,,,,,0.0002970499260990637,,,,,,1756115374.396359
,0.9999999815789851,3082.4599266052246,,,,,,,0.5428582465452625,97.73015975952148,,1.8833045959472656,80,,,6377.270936965942,,,,,,,9557.461023330688,,,6.575197370545909,,,0.5428582465452625,1756115384.20385
0.16,,,0.0002970499260990637,,0.10162434277572467,,,,,,,,80,,832.5066160187365,,,,,4.071706901361913,80,,,,,,,,,1756115384.23651
,,,,,,,,,,,,,80,0.2215537150038613,,,,,,,,,,,,,,,,1756115384.236626
,,,,,,,,,,,,,90,,,,,,,,,,,0.000294770328951673,,,,,,1756115471.4387462
,0.9999999868791276,3673.5479831695557,,,,,,,0.7621444353635326,88.51480484008789,,1.7921267747879028,90,,,7901.092767715454,,,,,,,11663.155555725098,,,6.002204238148769,,,0.7621444353635326,1756115483.4813771
0.18,,,0.000294770328951673,,0.08282240837373776,,,,,,,,90,,678.4811693976598,,,,,3.8233996564215356,90,,,,,,,,,1756115483.5127628
,,,,,,,,,,,,,90,0.24913162635432348,,,,,,,,,,,,,,,,1756115483.517109
,,,,,,,,,,,,,100,,,,,,,,,,,0.0002918585038060976,,,,,,1756115573.2951958
,0.9999999756250028,3042.620897293091,,,,,,,0.41025644561484725,96.9688892364502,,1.690674901008606,100,,,7003.456115722656,,,,,,,10143.045902252197,,,5.423139552666284,,,0.41025644561484725,1756115583.726069
0.2,,,0.0002918585038060976,,0.09559647191167144,,,,,,,,100,,783.1262979004124,,,,,3.5608955812454224,100,,,,,,,,,1756115583.755826
,,,,,,,,,,,,,100,0.2769757519827949,,,,,,,,,,,,,,,,1756115583.755959
,,,,,,1.685833878517151,50,,,,,,100,,,,,170.54635071754456,,,,,,,,,,5.396949456687515,,1756115754.302773
,,,,,,,,,,,,,110,,,,,,,,,,,0.0002883286367817511,,,,,,1756115845.1923862
,0.999999974841702,3034.5330238342285,,,,,,,0.3974831573904658,76.29704475402832,,1.6388107538223267,110,,,6374.191045761108,,,,,,,9485.021114349365,,,5.1490423906470975,,,0.3974831573904658,1756115854.9389608
0.22,,,0.0002883286367817511,,0.10235282424392332,,,,,,,,110,,838.4743362062198,,,,,2.8696475338935854,110,,,,,,,,,1756115854.962503
,,,,,,,,,,,,,110,0.35231093837155236,,,,,,,,,,,,,,,,1756115854.9626298
,,,,,,,,,,,,,120,,,,,,,,,,,0.00028419792503595515,,,,,,1756115948.87253
,0.9999999870671521,2950.9661197662354,,,,,,,0.7732248946997358,77.32725143432617,,1.567079782485962,120,,,6127.828121185303,,,,,,,9156.121492385864,,,4.79263221035633,,,0.7732248946997358,1756115958.28216
0.24,,,0.00028419792503595515,,0.10600077864742044,,,,,,,,120,,868.3583786796682,,,,,2.4034469366073608,120,,,,,,,,,1756115958.306415
,,,,,,,,,,,,,120,0.38101758778095246,,,,,,,,,,,,,,,,1756115958.306568
,,,,,,,,,,,,,130,,,,,,,,,,,0.0002794864929811175,,,,,,1756116042.588882
,0.9999999840718233,2718.334913253784,,,,,,,0.6278182444411681,79.08987998962402,,1.4525535106658936,130,,,5847.185850143433,,,,,,,8644.61064338684,,,4.2740143340324765,,,0.6278182444411681,1756116051.4733949
0.26,,,0.0002794864929811175,,0.11225727094840107,,,,,,,,130,,919.6115636093016,,,,,2.090942965745926,130,,,,,,,,,1756116051.496984
,,,,,,,,,,,,,130,0.40690386560228137,,,,,,,,,,,,,,,,1756116051.4971678
,,,,,,,,,,,,,140,,,,,,,,,,,0.00027421729424061787,,,,,,1756116145.265814
,0.9999999787777036,3268.359899520874,,,,,,,0.4712025321005203,75.38795471191406,,1.467697262763977,140,,,8262.615203857422,,,,,,,11606.36305809021,,,4.339231517633712,,,0.4712025321005203,1756116157.320318
0.28,,,0.00027421729424061787,,0.08276441036269495,,,,,,,,140,,678.0060496911971,,,,,1.8841197204589843,140,,,,,,,,,1756116157.348295
,,,,,,,,,,,,,140,0.43630698886182573,,,,,,,,,,,,,,,,1756116157.3484118
,,,,,,,,,,,,,150,,,,,,,,,,,0.00026841599982106197,,,,,,1756116241.3485901
,0.999999986610079,2609.905004501343,,,,,,,0.7468303915057282,88.87505531311035,,1.4881285429000854,150,,,5778.975009918213,,,,,,,8477.755069732666,,,4.428799450381201,,,0.7468303915057282,1756116250.056085
0.3,,,0.00026841599982106197,,0.11452669362572714,,,,,,,,150,,938.2026741819567,,,,,1.7578243160247802,150,,,,,,,,,1756116250.080173
,,,,,,,,,,,,,150,0.4620658458603753,,,,,,,,,,,,,,,,1756116250.080297
,,,,,,,,,,,,,160,,,,,,,,,,,0.0002621108730457179,,,,,,1756116335.4854012
,0.9999999877173742,2551.790237426758,,,,,,,0.8141581523516429,101.28402709960938,,1.4404864311218262,160,,,6294.010877609253,,,,,,,8947.08514213562,,,4.222749394219146,,,0.8141581523516429,1756116344.659355
0.32,,,0.0002621108730457179,,0.10870340414740554,,,,,,,,160,,890.4982867755461,,,,,1.6747008383274078,160,,,,,,,,,1756116344.684737
,,,,,,,,,,,,,160,0.48834488723013136,,,,,,,,,,,,,,,,1756116344.6848462
,,,,,,,,,,,,,170,,,,,,,,,,,0.0002553326318584458,,,,,,1756116442.7844968
,0.9999999783616479,2525.9549617767334,,,,,,,0.4621423902366567,76.52902603149414,,1.3881410360336304,170,,,5431.225776672363,,,,,,,8033.709764480591,,,4.007393524271736,,,0.4621423902366567,1756116451.069196
0.34,,,0.0002553326318584458,,0.12027408919842326,,,,,,,,170,,985.2853387134834,,,,,1.609044896364212,170,,,,,,,,,1756116451.098803
,,,,,,,,,,,,,170,0.5179043938716252,,,,,,,,,,,,,,,,1756116451.099071
,,,,,,,,,,,,,180,,,,,,,,,,,0.00024811429916896387,,,,,,1756116534.062778
,0.9999999793666456,2834.306001663208,,,,,,,0.4846521607563868,75.47211647033691,,1.3079743385314941,180,,,5909.831762313843,,,,,,,8819.609880447388,,,3.698673857573579,,,0.4846521607563868,1756116543.1209338
0.36,,,0.00024811429916896387,,0.11012855644950263,,,,,,,,180,,902.1731344343256,,,,,1.5535900688171387,180,,,,,,,,,1756116543.14307
,,,,,,,,,,,,,180,0.5434722064601051,,,,,,,,,,,,,,,,1756116543.143195
,,,,,,,,,,,,,190,,,,,,,,,,,0.0002404910419685508,,,,,,1756116622.168313
,0.9999999784322932,2774.0039825439453,,,,,,,0.46365614270560873,75.23107528686523,,1.360949158668518,190,,,5920.458793640137,,,,,,,8769.693851470947,,,3.899893163041755,,,0.46365614270560873,1756116631.2018828
0.38,,,0.0002404910419685508,,0.11034377091157553,,,,,,,,190,,903.9361713076268,,,,,1.508054141998291,190,,,,,,,,,1756116631.2308931
,,,,,,,,,,,,,190,0.5679410430457857,,,,,,,,,,,,,,,,1756116631.2310069
,,,,,,,,,,,,,200,,,,,,,,,,,0.00023249999999999996,,,,,,1756116720.3058932
,0.9999999809284165,2685.9049797058105,,,,,,,0.5243403016515498,75.26612281799316,,1.414278507232666,200,,,5520.079135894775,,,,,,,8281.25023841858,,,4.113517521925851,,,0.5243403016515498,1756116728.824312
0.4,,,0.00023249999999999996,,0.11706106697978186,,,,,,,,200,,958.964260698373,,,,,1.4692104411125184,200,,,,,,,,,1756116728.848437
,,,,,,,,,,,,,200,0.5950570289293925,,,,,,,,,,,,,,,,1756116728.848557
,,,,,,1.3352746844291687,50,,,,,,200,,,,,144.83258533477783,,,,,,,,,,3.801039889507547,,1756116873.6824389
,,,,,,,,,,,,,210,,,,,,,,,,,0.0002241801048165254,,,,,,1756116958.556416
,0.9999999755288083,2626.063108444214,,,,,,,0.4086437571457245,75.25992393493652,,1.3641210794448853,210,,,5505.533218383789,,,,,,,8206.85625076294,,,3.9122829545218347,,,0.4086437571457245,1756116966.9894369
0.42,,,0.0002241801048165254,,0.11821338353590118,,,,,,,,210,,968.4040379261024,,,,,1.4401172292232514,210,,,,,,,,,1756116967.015676
,,,,,,,,,,,,,210,0.6612157228257921,,,,,,,,,,,,,,,,1756116967.019855
,,,,,,,,,,,,,220,,,,,,,,,,,0.0002155718901111481,,,,,,1756117047.3645172
,0.9999999811515053,2583.137035369873,,,,,,,0.5305463405829959,75.531005859375,,1.3042951822280884,220,,,5483.905076980591,,,,,,,8142.573118209839,,,3.6850908606424677,,,0.5305463405829959,1756117055.727492
0.44,,,0.0002155718901111481,,0.11925030374069391,,,,,,,,220,,976.8984882437645,,,,,1.414714778661728,220,,,,,,,,,1756117055.7502332
,,,,,,,,,,,,,220,0.6858630899588267,,,,,,,,,,,,,,,,1756117055.750376
,,,,,,,,,,,,,230,,,,,,,,,,,0.00020671729424061788,,,,,,1756117133.478318
,0.9999999749884331,2648.9081382751465,,,,,,,0.3998150047197034,74.5232105255127,,1.3603166341781616,230,,,5573.162078857422,,,,,,,8296.593427658081,,,3.897427165090624,,,0.3998150047197034,1756117142.0162072
0.46,,,0.00020671729424061788,,0.11672853934784423,,,,,,,,230,,956.24019433754,,,,,1.393793272972107,230,,,,,,,,,1756117142.045179
,,,,,,,,,,,,,230,0.7098339016569986,,,,,,,,,,,,,,,,1756117142.045299
,,,,,,,,,,,,,240,,,,,,,,,,,0.0001976594559059551,,,,,,1756117220.255178
,0.9999999781283453,2595.0870513916016,,,,,,,0.45721276743301337,126.67226791381836,,1.2927393913269043,240,,,7227.877140045166,,,,,,,9949.636459350586,,,3.6427518228874796,,,0.45721276743301337,1756117230.444996
